source,target,link_type,similarity
e3902016-b943-4dfc-b92b-8228002f088d,642b74e7-2b61-447b-bb8f-8a9a768714f8,RELATES_TO,0.7909
642b74e7-2b61-447b-bb8f-8a9a768714f8,2cd2e554-e160-4b04-a898-ced2ad528e91,RELATES_TO,0.8865
642b74e7-2b61-447b-bb8f-8a9a768714f8,48d0420d-7862-4226-96c2-124987012b8f,RELATES_TO,0.7737
642b74e7-2b61-447b-bb8f-8a9a768714f8,b4f6b2e7-0ad9-4ae3-ad79-dc639eede0ce,RELATES_TO,0.7715
642b74e7-2b61-447b-bb8f-8a9a768714f8,14533798-9c62-4138-89eb-1b2c6b5de9e2,RELATES_TO,0.7493
642b74e7-2b61-447b-bb8f-8a9a768714f8,7f80fd17-d14c-4695-a560-57361c05670d,RELATES_TO,0.7435
adef5550-0e07-4bbe-8b9b-ed102350bae0,642b74e7-2b61-447b-bb8f-8a9a768714f8,RELATES_TO,0.6503
6f1516de-1e15-49cc-b649-b6e3e6b1aa55,642b74e7-2b61-447b-bb8f-8a9a768714f8,RELATES_TO,0.6501
119364db-7e1b-49e0-a65d-899d8e5878db,b4f6b2e7-0ad9-4ae3-ad79-dc639eede0ce,RELATES_TO,0.7512
119364db-7e1b-49e0-a65d-899d8e5878db,64d2e12a-d89c-4f71-92e2-e565db5d46eb,RELATES_TO,0.7344
119364db-7e1b-49e0-a65d-899d8e5878db,65d6f51f-10e3-402e-acac-25a14fcb22c8,RELATES_TO,0.7147
119364db-7e1b-49e0-a65d-899d8e5878db,f0087ff3-f56b-455c-8626-78b60f895474,RELATES_TO,0.7120
119364db-7e1b-49e0-a65d-899d8e5878db,0c856d7e-f7cd-441b-82ea-21fd02a08055,RELATES_TO,0.6992
2cd2e554-e160-4b04-a898-ced2ad528e91,65d6f51f-10e3-402e-acac-25a14fcb22c8,RELATES_TO,0.8026
2cd2e554-e160-4b04-a898-ced2ad528e91,b4f6b2e7-0ad9-4ae3-ad79-dc639eede0ce,RELATES_TO,0.8021
2cd2e554-e160-4b04-a898-ced2ad528e91,48d0420d-7862-4226-96c2-124987012b8f,RELATES_TO,0.7761
2cd2e554-e160-4b04-a898-ced2ad528e91,7f80fd17-d14c-4695-a560-57361c05670d,RELATES_TO,0.7667
adef5550-0e07-4bbe-8b9b-ed102350bae0,2cd2e554-e160-4b04-a898-ced2ad528e91,RELATES_TO,0.6550
07b2c1b0-5070-4439-931b-901117221ed4,2cd2e554-e160-4b04-a898-ced2ad528e91,RELATES_TO,0.6911
b4f6b2e7-0ad9-4ae3-ad79-dc639eede0ce,65d6f51f-10e3-402e-acac-25a14fcb22c8,RELATES_TO,0.8338
b4f6b2e7-0ad9-4ae3-ad79-dc639eede0ce,7f80fd17-d14c-4695-a560-57361c05670d,RELATES_TO,0.8290
b4f6b2e7-0ad9-4ae3-ad79-dc639eede0ce,976c6e8d-78c9-4bb9-972e-546e99785e6c,RELATES_TO,0.8195
33535aaf-3980-4b95-a3e1-f854308226d3,b4f6b2e7-0ad9-4ae3-ad79-dc639eede0ce,RELATES_TO,0.7566
1d820c92-2685-4b02-8f7c-eaa50a03df32,b4f6b2e7-0ad9-4ae3-ad79-dc639eede0ce,RELATES_TO,0.7349
976c6e8d-78c9-4bb9-972e-546e99785e6c,33535aaf-3980-4b95-a3e1-f854308226d3,RELATES_TO,0.8426
976c6e8d-78c9-4bb9-972e-546e99785e6c,65d6f51f-10e3-402e-acac-25a14fcb22c8,RELATES_TO,0.7919
976c6e8d-78c9-4bb9-972e-546e99785e6c,7f80fd17-d14c-4695-a560-57361c05670d,RELATES_TO,0.7696
976c6e8d-78c9-4bb9-972e-546e99785e6c,a0527698-fa72-47bc-95ca-3a3a2976321b,RELATES_TO,0.7494
1d820c92-2685-4b02-8f7c-eaa50a03df32,7f80fd17-d14c-4695-a560-57361c05670d,RELATES_TO,0.7453
1d820c92-2685-4b02-8f7c-eaa50a03df32,09cae35c-80b1-4957-a1bc-b5d171ea2f6a,RELATES_TO,0.7295
1d820c92-2685-4b02-8f7c-eaa50a03df32,65d6f51f-10e3-402e-acac-25a14fcb22c8,RELATES_TO,0.7149
1d820c92-2685-4b02-8f7c-eaa50a03df32,88d0a882-27ef-480f-b7a5-4a9dd953e19d,RELATES_TO,0.7074
6f1516de-1e15-49cc-b649-b6e3e6b1aa55,984ec5c1-ebf7-4ee2-b4a1-d54ac5008309,RELATES_TO,0.6763
6f1516de-1e15-49cc-b649-b6e3e6b1aa55,a3fbe51a-5f62-47d1-a63c-1e1b4b0c9367,RELATES_TO,0.6682
6f1516de-1e15-49cc-b649-b6e3e6b1aa55,0992f82c-6f23-44a5-8c57-7405c37bdff6,RELATES_TO,0.6607
6f1516de-1e15-49cc-b649-b6e3e6b1aa55,498b6ac1-07f0-4a0f-a5c2-57feeb0be2ed,RELATES_TO,0.6532
33535aaf-3980-4b95-a3e1-f854308226d3,65d6f51f-10e3-402e-acac-25a14fcb22c8,RELATES_TO,0.7911
33535aaf-3980-4b95-a3e1-f854308226d3,7f80fd17-d14c-4695-a560-57361c05670d,RELATES_TO,0.7783
33535aaf-3980-4b95-a3e1-f854308226d3,a0527698-fa72-47bc-95ca-3a3a2976321b,RELATES_TO,0.7721
09cae35c-80b1-4957-a1bc-b5d171ea2f6a,7f80fd17-d14c-4695-a560-57361c05670d,RELATES_TO,0.8189
09cae35c-80b1-4957-a1bc-b5d171ea2f6a,a0527698-fa72-47bc-95ca-3a3a2976321b,RELATES_TO,0.8060
09cae35c-80b1-4957-a1bc-b5d171ea2f6a,88d0a882-27ef-480f-b7a5-4a9dd953e19d,RELATES_TO,0.8048
09cae35c-80b1-4957-a1bc-b5d171ea2f6a,65d6f51f-10e3-402e-acac-25a14fcb22c8,RELATES_TO,0.7749
09cae35c-80b1-4957-a1bc-b5d171ea2f6a,865ce958-2438-45b0-975c-f49893a40d19,RELATES_TO,0.7717
81691714-2aa7-4776-ae9f-9d46b8cb034a,6f511575-052c-4209-9d48-1344f2fb46f1,RELATES_TO,0.7708
81691714-2aa7-4776-ae9f-9d46b8cb034a,525d89d8-684b-4c63-84b0-a489b8e1bcc5,RELATES_TO,0.7637
81691714-2aa7-4776-ae9f-9d46b8cb034a,c51ff0bb-9b3c-4cbb-b018-a18ecef436b0,RELATES_TO,0.7490
525d89d8-684b-4c63-84b0-a489b8e1bcc5,6f511575-052c-4209-9d48-1344f2fb46f1,RELATES_TO,0.8930
525d89d8-684b-4c63-84b0-a489b8e1bcc5,c51ff0bb-9b3c-4cbb-b018-a18ecef436b0,RELATES_TO,0.7752
49689946-096a-4a02-82e7-135f9b3aa020,66de5086-4ed9-4534-915e-49d05e104a27,RELATES_TO,0.7339
49689946-096a-4a02-82e7-135f9b3aa020,1e7667a5-5e1f-4851-a6c1-722c69ebe68e,RELATES_TO,0.6995
49689946-096a-4a02-82e7-135f9b3aa020,48641261-2f7e-4d63-9d10-dcb26d341a25,RELATES_TO,0.6894
49689946-096a-4a02-82e7-135f9b3aa020,7ff80ab2-797e-4887-8ee9-09224bb10868,RELATES_TO,0.6847
49689946-096a-4a02-82e7-135f9b3aa020,c483b548-12d5-453f-b625-536bcf6a2b27,RELATES_TO,0.6750
0c856d7e-f7cd-441b-82ea-21fd02a08055,7f80fd17-d14c-4695-a560-57361c05670d,RELATES_TO,0.7314
0c856d7e-f7cd-441b-82ea-21fd02a08055,STARTER-001,RELATES_TO,0.7265
0c856d7e-f7cd-441b-82ea-21fd02a08055,6b14d597-3831-454c-99d4-40a7ce191901,RELATES_TO,0.7256
0c856d7e-f7cd-441b-82ea-21fd02a08055,1e7667a5-5e1f-4851-a6c1-722c69ebe68e,RELATES_TO,0.7255
07b2c1b0-5070-4439-931b-901117221ed4,0c856d7e-f7cd-441b-82ea-21fd02a08055,RELATES_TO,0.8109
07b2c1b0-5070-4439-931b-901117221ed4,7f80fd17-d14c-4695-a560-57361c05670d,RELATES_TO,0.6890
a0527698-fa72-47bc-95ca-3a3a2976321b,88d0a882-27ef-480f-b7a5-4a9dd953e19d,RELATES_TO,0.8570
a0527698-fa72-47bc-95ca-3a3a2976321b,7f80fd17-d14c-4695-a560-57361c05670d,RELATES_TO,0.8444
a0527698-fa72-47bc-95ca-3a3a2976321b,65d6f51f-10e3-402e-acac-25a14fcb22c8,RELATES_TO,0.8317
a0527698-fa72-47bc-95ca-3a3a2976321b,865ce958-2438-45b0-975c-f49893a40d19,RELATES_TO,0.8176
7ff80ab2-797e-4887-8ee9-09224bb10868,45c0fe33-4c91-47a0-b0dc-14bd6bf8afaa,RELATES_TO,0.8801
7ff80ab2-797e-4887-8ee9-09224bb10868,6cac881c-894d-41e6-ae93-a5c940480e92,RELATES_TO,0.7770
7ff80ab2-797e-4887-8ee9-09224bb10868,66de5086-4ed9-4534-915e-49d05e104a27,RELATES_TO,0.7617
7ff80ab2-797e-4887-8ee9-09224bb10868,f0087ff3-f56b-455c-8626-78b60f895474,RELATES_TO,0.7474
7ff80ab2-797e-4887-8ee9-09224bb10868,6b14d597-3831-454c-99d4-40a7ce191901,RELATES_TO,0.7202
f15c50fe-9110-4617-a8fa-2ca36f5b43b0,7ff80ab2-797e-4887-8ee9-09224bb10868,RELATES_TO,0.7175
48641261-2f7e-4d63-9d10-dcb26d341a25,7ff80ab2-797e-4887-8ee9-09224bb10868,RELATES_TO,0.6614
66de5086-4ed9-4534-915e-49d05e104a27,45c0fe33-4c91-47a0-b0dc-14bd6bf8afaa,RELATES_TO,0.7940
66de5086-4ed9-4534-915e-49d05e104a27,48641261-2f7e-4d63-9d10-dcb26d341a25,RELATES_TO,0.7323
66de5086-4ed9-4534-915e-49d05e104a27,1e7667a5-5e1f-4851-a6c1-722c69ebe68e,RELATES_TO,0.7192
6cac881c-894d-41e6-ae93-a5c940480e92,45c0fe33-4c91-47a0-b0dc-14bd6bf8afaa,RELATES_TO,0.7432
6cac881c-894d-41e6-ae93-a5c940480e92,f0087ff3-f56b-455c-8626-78b60f895474,RELATES_TO,0.7138
6cac881c-894d-41e6-ae93-a5c940480e92,325aaeda-6780-4748-959c-03d97f582a12,RELATES_TO,0.7057
6cac881c-894d-41e6-ae93-a5c940480e92,48d0420d-7862-4226-96c2-124987012b8f,RELATES_TO,0.6942
45c0fe33-4c91-47a0-b0dc-14bd6bf8afaa,88d0a882-27ef-480f-b7a5-4a9dd953e19d,RELATES_TO,0.6987
45c0fe33-4c91-47a0-b0dc-14bd6bf8afaa,f15c50fe-9110-4617-a8fa-2ca36f5b43b0,RELATES_TO,0.6770
adef5550-0e07-4bbe-8b9b-ed102350bae0,b01689b6-3d49-4b7a-bcb6-b0f5c17786f4,RELATES_TO,0.6085
adef5550-0e07-4bbe-8b9b-ed102350bae0,e768b072-2f7b-483c-ae3c-84d8a95dc2bc,RELATES_TO,0.6078
adef5550-0e07-4bbe-8b9b-ed102350bae0,984ec5c1-ebf7-4ee2-b4a1-d54ac5008309,RELATES_TO,0.5952
48641261-2f7e-4d63-9d10-dcb26d341a25,f15c50fe-9110-4617-a8fa-2ca36f5b43b0,RELATES_TO,0.7392
48641261-2f7e-4d63-9d10-dcb26d341a25,1e7667a5-5e1f-4851-a6c1-722c69ebe68e,RELATES_TO,0.7186
d505aa86-fe11-45c3-97ad-05b8c243417e,c51ff0bb-9b3c-4cbb-b018-a18ecef436b0,RELATES_TO,0.8162
1e7667a5-5e1f-4851-a6c1-722c69ebe68e,8cb94233-28bc-4b2a-bea9-2f562d1ff69f,RELATES_TO,0.8191
1e7667a5-5e1f-4851-a6c1-722c69ebe68e,6b14d597-3831-454c-99d4-40a7ce191901,RELATES_TO,0.7974
1e7667a5-5e1f-4851-a6c1-722c69ebe68e,64d2e12a-d89c-4f71-92e2-e565db5d46eb,RELATES_TO,0.7413
1e7667a5-5e1f-4851-a6c1-722c69ebe68e,498b6ac1-07f0-4a0f-a5c2-57feeb0be2ed,RELATES_TO,0.7411
f15c50fe-9110-4617-a8fa-2ca36f5b43b0,1e7667a5-5e1f-4851-a6c1-722c69ebe68e,RELATES_TO,0.7180
f15c50fe-9110-4617-a8fa-2ca36f5b43b0,4d52717c-432b-46d1-b240-457b82c745b8,RELATES_TO,0.7222
65d6f51f-10e3-402e-acac-25a14fcb22c8,7f80fd17-d14c-4695-a560-57361c05670d,RELATES_TO,0.8680
65d6f51f-10e3-402e-acac-25a14fcb22c8,88d0a882-27ef-480f-b7a5-4a9dd953e19d,RELATES_TO,0.8336
865ce958-2438-45b0-975c-f49893a40d19,65d6f51f-10e3-402e-acac-25a14fcb22c8,RELATES_TO,0.7774
7f80fd17-d14c-4695-a560-57361c05670d,88d0a882-27ef-480f-b7a5-4a9dd953e19d,RELATES_TO,0.8945
7f80fd17-d14c-4695-a560-57361c05670d,865ce958-2438-45b0-975c-f49893a40d19,RELATES_TO,0.8612
865ce958-2438-45b0-975c-f49893a40d19,88d0a882-27ef-480f-b7a5-4a9dd953e19d,RELATES_TO,0.8560
88d0a882-27ef-480f-b7a5-4a9dd953e19d,6b14d597-3831-454c-99d4-40a7ce191901,RELATES_TO,0.6837
88d0a882-27ef-480f-b7a5-4a9dd953e19d,f0087ff3-f56b-455c-8626-78b60f895474,RELATES_TO,0.6756
88d0a882-27ef-480f-b7a5-4a9dd953e19d,48d0420d-7862-4226-96c2-124987012b8f,RELATES_TO,0.6670
88d0a882-27ef-480f-b7a5-4a9dd953e19d,325aaeda-6780-4748-959c-03d97f582a12,RELATES_TO,0.6611
88d0a882-27ef-480f-b7a5-4a9dd953e19d,984ec5c1-ebf7-4ee2-b4a1-d54ac5008309,RELATES_TO,0.6320
325aaeda-6780-4748-959c-03d97f582a12,6b14d597-3831-454c-99d4-40a7ce191901,RELATES_TO,0.7722
325aaeda-6780-4748-959c-03d97f582a12,f0087ff3-f56b-455c-8626-78b60f895474,RELATES_TO,0.7474
